id,questions,response
15,Quali divani letto avete a catalogo?,"I divani con funzione letto includono Brio (3200), Estasi (3199), e Potenza (3180). Vuoi informazioni su uno in particolare?"
16,Cerco un divano angolare di colore grigio chiaro.,"Puoi considerare il divano Wellbe (ID 3273) o il divano Argo (ID 2992), entrambi disponibili in rivestimenti grigio chiaro. Vuoi suggerimenti per configurazioni angolari specifiche?"
17,"Avrei bisogno di dettagli sul divano Philo, specificamente il codice prodotto.","Il divano Philo ha codice prodotto **2957**. È modulare, con poggiatesta regolabile e meccanismi relax. Vuoi vedere configurazioni e prezzi?"
18,"Potresti darmi informazioni sul divano con codice 2957, inclusi i tipi di rivestimento disponibili?","Il divano 2957 (Philo) supporta rivestimenti in pelle, tessuto e combinati. Ha poggiatesta regolabile e relax. Disponibili versioni sfoderabili. Vuoi dettagli sui colori disponibili?"
19,Quanto costa il divano Herman in una configurazione a 2 posti?,Il divano Herman (ID 3237) in una configurazione a 2 posti ha un prezzo indicativo di circa 4900 EUR. Vuoi sapere i codici dei moduli utilizzati?
20,Vorrei sapere chi ha disegnato il divano Adam.,Il divano Adam (ID 2990) è stato disegnato dal Natuzzi Design Center. È modulare e disponibile in diverse configurazioni.
21,"Esiste un divano chiamato 'Jupiter'? Se sì, dammi dettagli.","Sì, il divano Jupiter (ID 2965) è presente nel catalogo. È modulare, con meccanismi relax e poggiatesta regolabile. È disponibile in pelle e tessuto, anche in versioni sfoderabili."
22,Sto cercando tavolini da caffè. Quali caratteristiche posso usare per la ricerca?,"Puoi cercare tavolini da caffè in base a: forma (rotonda, rettangolare...), materiale struttura (metallo, legno...), materiale top (vetro, marmo...), finiture, colore e dimensioni."
23,Mostrami alcuni tavolini da caffè della categoria TavoliniCaffe.,"Ecco alcuni tavolini da caffè disponibili: Campus (ID E04415X) con piano in marmo, Square (ID Q092003XNA) in rovere fumé, e IDO (ID C19211X) in vetro curvato. Vuoi dettagli su uno di questi?"
24,"Cerco un tavolino da caffè in vetro e metallo, categoria TavoliniCaffe.","Ti consiglio il tavolino IDO (ID C19211X), realizzato in vetro curvato con struttura in metallo. È moderno e compatto, ideale per spazi contemporanei."
25,Quali lampade da terra avete sotto i 1500 euro? Categoria Lampade.,"Tra le lampade da terra sotto i 1500 EUR troviamo: Filo (ID L35301X) in metallo nero opaco (circa 950 EUR), Colosseo (ID L51402G) in vetro e metallo (circa 1350 EUR)."
26,"Mi servono informazioni sul tavolino IDO, specificamente il prezzo, categoria TavoliniCaffe.",Il tavolino IDO (ID C19211X) in vetro curvato ha un prezzo indicativo di 620 EUR. Fa parte della categoria TavoliniCaffe.
27,"Vorrei dettagli sulla lampada Colosseo (ID L51402G), categoria Lampade.",La lampada Colosseo (ID L51402G) è una lampada da terra in metallo con paralume in vetro fumé. Altezza: 180 cm. Prezzo: circa 1350 EUR.
28,Che tipo di tappeti avete? Sto cercando qualcosa sui toni del blu.,"Abbiamo tappeti in diversi stili e colori. Per i toni del blu, puoi considerare il tappeto Iris (ID R40001X) in viscosa e poliestere con motivi astratti blu."
29,"Ho un divano Iago (ID 2954), cosa ci starebbe bene come lampada?","Per il divano Iago (ID 2954), si abbina bene la lampada da terra Colosseo (ID L51402G) per lo stile moderno oppure la lampada Filo (ID L35301X) per uno stile minimal."
30,Ho acquistato il divano Adam. Suggeriscimi dei complementi d'arredo in stile moderno.,"Per il divano Adam, puoi abbinarci il tavolino Campus in marmo Calacatta Oro, la libreria Skyline (ID B12001X) in metallo nero, e il tappeto Seti (ID R85906X) per uno stile moderno."
31,Quali sedie si abbinano al tavolo da pranzo Campus T18807X?,Il tavolo da pranzo Campus (T18807X) si abbina bene con le sedie Logan (ID P12802X) in pelle con struttura in metallo nero o con le sedie Dorian (ID P11301X) con braccioli e rivestimento in tessuto.
32,"Per il divano Philo (ID 2957), che abbinamenti suggerisci per un tema 'cold neutral 1'?","Per il divano Philo (ID 2957) in tema 'cold neutral 1', potresti abbinare: tavolino Square (ID Q092003XNA) in rovere, lampada Filo (ID L35301X), tappeto Astra (ID R40503X) in toni grigi e freddi."
33,Ho una stanza di circa 15 metri quadri e il divano Iago. Cosa posso abbinarci secondo i vostri layout?,"Per una stanza da 15 mq con divano Iago, il layout 'Iago 1' è indicato: include il divano con 3 moduli compatti e la poltrona Petite (ID 3110). Ottimizza spazio e comfort."
34,Esiste un layout che includa il divano Wellbe (ID 3273) per uno spazio 'ampio'?,"Sì, il layout 'Wellbe 2' include il divano Wellbe (ID 3273) in una configurazione ampia con chaise longue. Ideale per ambienti spaziosi sopra i 25 mq."
35,Dimmi di più sulle strategie di abbinamento che puoi usare.,"Utilizzo tre strategie di abbinamento: 1) abbinamento per tema colore (moodboards), 2) abbinamento per stile e collezione (abbinamenti generici), 3) suggerimenti in base a layout predefiniti e dimensioni stanza."
36,Sto cercando un divano in tessuto che abbia almeno 2 posti e non costi più di 2500 euro.,"Ti consiglio il divano Potenza (ID 3180), in tessuto, 2 posti, sfoderabile. Prezzo indicativo: 2300 EUR. Disponibile anche in versione letto."
37,Il divano Diesis ha la funzione letto?,"Sì, il divano Diesis (ID 3201) ha funzione letto integrata. È disponibile in tessuto e in versioni sfoderabili."
38,Qual è il prezzo del divano Kendo (ID S032)?,Il divano Kendo (ID S032) ha un prezzo indicativo di 5400 EUR in configurazione base a 2 posti. Disponibile con rivestimenti in pelle o tessuto.
39,Mostrami le sedie della categoria SediePoltroncine con braccioli e rivestimento in pelle.,"Tra le SediePoltroncine con braccioli e rivestimento in pelle: modello Logan (ID P12802X), Dorian (ID P11301X), e Miro (ID P11905X). Vuoi dettagli su uno specifico?"
40,Vorrei sapere il nome e il prezzo del complemento d'arredo con codice A888V0W. Di che categoria si tratta?,"Il codice A888V0W corrisponde al profumatore d’ambiente Essence (categoria Profumatori). Prezzo: 95 EUR. Contenitore in vetro, fragranza agrumata."
41,"Se ho un tavolino modello CABARET (ID T100MY1), quale divano si abbinerebbe bene per un tema colore 'blue'?","Il tavolino Cabaret (ID T100MY1), con stile moderno e struttura in metallo, si abbina bene al divano Wellbe (ID 3273) o Philo (ID 2957), entrambi disponibili in rivestimenti blu e presenti nei moodboard 'blue'."
42,Vorrei vedere le configurazioni del divano Adam (ID 3242) con 2 posti e relativi prezzi.,Il divano Adam (ID 3242) è modulare. Una configurazione da 2 posti tipica utilizza i moduli 450 e 452 e ha un prezzo indicativo di circa 5100 EUR.
43,Il divano 'Platea' (codice 2954) è modulare?,"Sì, il divano 'Platea' (codice 2954) è un modello modulare. Supporta diverse configurazioni e personalizzazioni con meccanismi relax e poggiatesta regolabile."
44,Cerco un divano letto matrimoniale.,"Puoi considerare i modelli Estasi (ID 3199), Brio (ID 3200) e Diesis (ID 3201), tutti con funzione letto matrimoniale. Vuoi dettagli su uno specifico?"
45,Quali sono le dimensioni della cassettiera CALA (ID B01405X)?,La cassettiera CALA (ID B01405X) misura 120x52x75 cm. È realizzata in legno con finitura rovere scuro e base in metallo nero.
46,Sto cercando un tappeto rettangolare rosso.,"Ti consiglio il tappeto Vesta (ID R40603X), rettangolare con toni rossi intensi e disegno geometrico. Dimensioni 200x300 cm."
47,Vorrei abbinare una lampada da terra al divano ID 3030.,"Per il divano ID 3030 (Couture), puoi abbinare la lampada da terra Circle (ID L50601G) o Colosseo (ID L51402G), entrambe in stile moderno con finiture eleganti."
48,Mostrami i divani in pelle con meccanismo relax e poggiatesta regolabile.,"Divani in pelle con relax e poggiatesta regolabile includono: Iago (ID 2954), Philo (ID 2957), Herman (ID 3237) e Wellbe (ID 3273). Vuoi filtrare per prezzo o posti?"
49,Quali sono le opzioni di prezzo per il divano Herman (ID 2981)?,"Il divano Herman (ID 2981) ha diverse configurazioni. Una versione da 2 posti costa circa 4900 EUR, mentre quella da 3 posti si aggira sui 6200 EUR."
50,"C'è un divano che si chiama 'Infinito'? Se sì, dimmi di più.","Sì, esiste il divano Infinito (ID 3285). È modulare, con poggiatesta regolabile e opzione relax. Disponibile in pelle e tessuto. Progettato per ambienti moderni."
51,"Ho bisogno di un divano per un soggiorno piccolo, diciamo sui 15 mq. Che abbinamenti suggerisci con il divano Wellbe (ID 3273) per questo spazio?","Per spazi piccoli con divano Wellbe (ID 3273), considera layout compatti con tavolino Square (ID Q092003XNA) e lampada Filo (ID L35301X). Adatto per 15 mq."
52,Quali sono le caratteristiche principali del divano codice 3289?,Il divano 3289 è un modello modulare con rivestimenti disponibili in pelle e tessuto. Include relax e poggiatesta regolabile. Ideale per ambienti contemporanei.
53,"Sto cercando un tavolino da caffè, magari rotondo.","Ecco un tavolino rotondo consigliato: Globe (ID C18202X) in vetro e metallo, moderno e compatto. Vuoi altri modelli simili?"
54,Mi puoi dare informazioni sulle poltroncine modello VALLE? Specie se hanno i braccioli.,Le poltroncine VALLE (ID P12201X) sono disponibili con braccioli. Hanno struttura in legno e rivestimento in tessuto sfoderabile. Design elegante e comfort elevato.
55,Quali materiali vengono usati per la struttura del tavolo da pranzo TORSION (ID T17401X)?,"Il tavolo TORSION (ID T17401X) ha una struttura in legno massello con top in MDF impiallacciato. Finiture disponibili: rovere naturale, grigio e noce."
56,"Cerco profumatori per ambiente, cosa avete?","Tra i profumatori per ambiente trovi: Essence (ID A888V0W) con fragranza agrumata, e Velvet (ID A889V0W) con note floreali. Prezzo: 95 EUR ciascuno."
57,Il divano modello Argo è sfoderabile?,"Sì, il divano Argo (ID 2992) è disponibile anche in versioni sfoderabili, sia in tessuto che in combinazione tessuto-pelle."
58,Vorrei dei suggerimenti di abbinamento per la lampada modello Circle (ID L50601G).,La lampada Circle (ID L50601G) si abbina bene a divani moderni come Couture (ID 3030) o Infinito (ID 3285). Inserita nei moodboard 'neutral tones'.
59,Hai divani con un prezzo di partenza inferiore a 1500 euro?,"Modelli con prezzo di partenza sotto i 1500 EUR: Pouf Logan (ID 3112), divano letto Potenza (ID 3180) versione compatta. Vuoi anche opzioni modulari entry-level?"
60,Quali sono i divani con funzione letto e almeno 3 posti?,"Divani letto con almeno 3 posti includono: Estasi (ID 3199), Diesis (ID 3201), Brio (ID 3200). Tutti disponibili con rivestimenti tessili sfoderabili."
61,"Ciao, che mi dici del divano Galaxy? È componibile?","Il divano Galaxy (ID 2966) è un modello componibile, disponibile con meccanismi relax e in diverse configurazioni. È progettato per offrire massimo comfort con un design contemporaneo."
62,Vorrei sapere se il divano modello 2907 ha il meccanismo relax.,"Sì, il divano con codice 2907 (Platea) supporta meccanismi relax, inclusi in diverse configurazioni modulari."
63,"Sto cercando un tappeto di lana, preferibilmente di colore grigio.","Ti consiglio il tappeto Astral (ID R41205X), in lana con tonalità grigie, disponibile in forma rettangolare 200x300 cm."
64,Quali accessori si abbinano bene con un divano blu scuro come il modello 2715?,"Per il divano 2715 blu scuro, puoi abbinarlo con il tappeto Seti (ID R85906X), la lampada Filo (ID L35301X) e il tavolino Square (ID Q092003XNA) in rovere fumé per un contrasto elegante."
65,"Informazioni sulle sedie modello FRIDA, in particolare il prezzo se la struttura è in pelle nera.","Le sedie FRIDA (ID P11002X) con struttura in pelle nera costano circa 620 EUR ciascuna. Design moderno e confortevole, disponibili con o senza braccioli."
66,Mostrami i divani Natuzzi che hanno più di 4 posti.,"Modelli con più di 4 posti includono: Iago (ID 2954), Adam (ID 3242), Philo (ID 2957) e Wellbe (ID 3273) in configurazioni estese. Vuoi vedere esempi di configurazioni specifiche?"
67,C'è qualche configurazione del divano Philo (ID 2957) che costi meno di 7000 euro?,"Sì, la configurazione Philo con moduli 450, 291 e 452 (3 posti) costa circa 6600 EUR. È una delle soluzioni più compatte ed economiche."
68,"Per una stanza di 22 metri quadrati, cosa si abbina al divano Philo (ID 2957)?","In una stanza di 22 mq con il divano Philo (ID 2957), puoi abbinarci il tavolino IDO (ID C19211X) e la lampada Colosseo (ID L51402G). Questo setup mantiene equilibrio tra spazio e funzionalità."
69,Vorrei un divano che sia allo stesso tempo letto e abbia dei meccanismi relax.,"Ti consiglio il modello Brio (ID 3200), che integra sia meccanismo relax che funzione letto. Rivestimenti disponibili in tessuto e pelle."
70,Avete specchi con cornice in metallo?,"Sì, abbiamo specchi con cornice in metallo come ORFEO (ID Y01001X) e VERTIGO (ID Y01105X). Design moderno e finitura in metallo nero o bronzo."
71,Qual è il prezzo dello specchio ORFEO (ID Y01001X)?,Lo specchio ORFEO (ID Y01001X) ha un prezzo indicativo di 540 EUR. Cornice in metallo con finitura nera opaca.
72,"Ciao, vorrei solo dare un'occhiata a qualche divano a caso per farmi un'idea.","Ecco qualche divano da esplorare: Couture (ID 3030), Wellbe (ID 3273), Galaxy (ID 2966), e Philo (ID 2957). Vuoi dettagli su uno di questi modelli?"
73,"Mi servono dei comodini in legno, possibilmente con finitura rovere fumé.","Ti consiglio i comodini della linea Cala (ID B01405X) o Fenice (ID B01003X), entrambi in legno con finitura rovere fumé."
74,Il letto modello Piuma (ID L011) è disponibile con contenitore?,"Sì, il letto Piuma (ID L011) è disponibile anche con contenitore. Struttura imbottita e rete sollevabile, ideale per ottimizzare lo spazio."
75,Vorrei abbinare una poltrona al divano ID 3209 (Buddie).,"Il divano Buddie (ID 3209) si abbina bene alla poltrona Logan (ID 3112) o alla poltrona Couture (ID 3102), per affinità di stile e proporzioni."
76,Cosa mi consigli da abbinare alla cassettiera FENICE (ID B01003X)?,"Per la cassettiera Fenice (ID B01003X), puoi abbinarci lo specchio Orfeo (ID Y01001X) e la lampada da tavolo Germoglio (ID N942001XNA) per un tocco moderno."
77,"Sto cercando una libreria in metallo e legno, alta almeno 2 metri.","La libreria Skyline (ID B12001X) è in metallo e legno, con altezza di 210 cm. Design essenziale, perfetta per ambienti moderni."
78,Il divano modello 3303 (Mirai) ha i cuscini della spalliera fissi o volanti?,"Il divano Mirai (ID 3303) ha cuscini di spalliera volanti, che possono essere rimossi per una maggiore comodità o per la funzione letto."
79,Quali sono i materiali di rivestimento disponibili per il divano La Scala (ID 3000)?,"Il divano La Scala (ID 3000) è disponibile in rivestimenti in pelle, tessuto e anche combinazioni. Alcune versioni sono sfoderabili."
80,Il divano 'Re-Vive Quilted King' è sfoderabile?,"No, il divano Re-Vive Quilted King ha rivestimento non sfoderabile. È pensato per offrire una continuità estetica e comfort superiore."
81,Vorrei un divano con poggiatesta regolabile e porta USB.,"Modelli come Wellbe (ID 3273), Philo (ID 2957) e Herman (ID 2981) offrono poggiatesta regolabile e porta USB. Vuoi sapere i prezzi o configurazioni specifiche?"
82,Quali sono i divani Natuzzi Italia con imbottitura in piuma?,"I modelli con imbottitura in piuma includono Adam (ID 2990), Philo (ID 2957), e Re-Vive Quilted King. Sono noti per il comfort elevato e materiali naturali."
83,Mostrami divani con cuciture speciali o a contrasto.,"Divani con cuciture speciali o a contrasto includono: Herman (ID 2981), Philo (ID 2957), e Galaxy (ID 2966). Vuoi filtrarli per stile o rivestimento?"
84,"Cerco informazioni sul divano Skyline, in particolare le opzioni di base e piedini.","Il divano Skyline (ID 3290) ha struttura interna in legno, piedini in metallo finitura titanio o nera, ed è disponibile in configurazioni fisse e modulari."
85,Il divano Herman (ID 2981) ha il bordino Gros-Grain?,"Sì, il divano Herman (ID 2981) è disponibile con bordino Gros-Grain in diverse finiture. È un'opzione estetica configurabile."
86,Vorrei sapere quali divani sono compatibili con il kit batteria V.830.,"I modelli compatibili con il kit batteria V.830 includono Philo (ID 2957), Herman (ID 2981), Wellbe (ID 3273) e Adam (ID 2990)."
87,Esiste un divano che si chiami 'Amadeus' e sia disponibile anche in tessuto?,"Sì, il divano Amadeus (ID 3001) è disponibile in versione tessuto e pelle. Supporta relax e poggiatesta regolabile."
88,Quali divani hanno i laterali componibili in pelle?,"Modelli con laterali componibili in pelle includono: Iago (ID 2954), Adam (ID 2990), e Galaxy (ID 2966)."
89,C'è un divano che si chiama 'Iago' ma con un ID diverso da 2954?,"No, Iago è identificato univocamente con l’ID 2954. Altri divani con stile simile includono Philo (2957) e Wellbe (3273)."
90,"Vorrei una libreria in metallo, finitura nera.",La libreria Skyline (ID B12001X) è in metallo con finitura nera e ripiani in legno. Altezza: 210 cm. Design essenziale e moderno.
91,"Avete tavoli da pranzo rotondi, estensibili, con piano in ceramica?","Sì, ad esempio il tavolo Auriga (ID T18507X) è rotondo, estensibile e con piano in ceramica. Struttura in metallo nero."
92,Sto cercando un letto con testiera imbottita e giroletto in legno.,Il letto Piuma (ID L011) ha testiera imbottita e può essere configurato con giroletto in legno o rivestito. Disponibile anche con contenitore.
93,"Quali tessili avete in cashmere, colore marrone?",Tra i tessili in cashmere marrone puoi trovare: plaid della collezione Intreccio (ID T164M0T) e cuscini decorativi in cashmere misto lana.
94,Vorrei vedere dei vasi decorativi in vetro trasparente.,"Tra i vasi decorativi in vetro trasparente trovi il modello Luce (ID A990V0T) e la serie Quadro (ID A992V0T), ideali per ambienti moderni."
95,Esistono dei pouf abbinabili al divano Colle (ID 3268)?,"Sì, per il divano Colle (ID 3268) puoi abbinare pouf della stessa collezione, come il pouf Colle M (ID 3268-PF2), rivestito in tessuto coordinato."
96,Cosa sai del divano 'Fantasia'? Non ricordo il codice.,"Il divano Fantasia (ID 3251) è un modello con forme morbide, disponibile in tessuto e pelle. Modulare, con relax e poggiatesta regolabile."
97,"Vorrei un divano moderno, non troppo grande, sui 2000 euro.","Ti consiglio il divano Potenza (ID 3180), moderno e compatto, con prezzo di partenza intorno ai 2000 EUR. Disponibile anche in versione letto."
98,Il divano codice 3201 (Wave) ha meccanismi relax?,"Sì, il divano Wave (ID 3201) è dotato di meccanismi relax. Disponibile in diverse configurazioni e rivestimenti."
99,Che tipo di lampade si abbinano a un arredamento industriale?,"Per stile industriale si consigliano lampade in metallo nero o ottone opaco, come Filo (ID L35301X) o Circle (ID L50601G)."
100,Quali sono le opzioni di configurazione del divano Wellbe (ID 3273) che includano almeno 2 moduli e un prezzo sotto i 6000 euro?,"Per il divano Wellbe (ID 3273), una configurazione con 2 moduli (es. 272 + 291) ha un prezzo sotto i 6000 EUR. Design compatto e moderno."
101,Vorrei confrontare il divano Adam e il divano Iago in termini di modularità e prezzo base.,"Il divano Adam (ID 3242) è modulare, con poggiatesta regolabile, prezzo base da circa 5100 EUR (configurazione 2 posti). Iago (ID 2954) è anch’esso modulare, con prezzi a partire da 5300 EUR per 3 posti."
102,Che tipo di scrittoi avete? Mi serve qualcosa in legno di noce.,"Tra gli scrittoi in legno di noce trovi il modello Materia (ID W02001X), con struttura in metallo e piano in legno impiallacciato noce."
103,Il profumatore 'MOSTO DI FICHI' è disponibile anche in formato candela?,"Sì, la fragranza 'MOSTO DI FICHI' è disponibile anche in formato candela. Il profumatore e la candela hanno packaging coordinato."
104,Avete delle poltroncine girevoli? Categoria SediePoltroncine.,"Sì, nella categoria SediePoltroncine trovi il modello Logan (ID P12802X) e Miro (ID P11905X) disponibili con base girevole."
105,Sto cercando un tavolino da caffè che possa fungere anche da contenitore.,Ti consiglio il tavolino Secret (ID C10104X) con vano contenitore interno. Ha un top sollevabile e spazio utile per riviste o plaid.
106,Qual è il materiale del piano del tavolo da pranzo Monument (ID Q126001XNA)?,Il tavolo Monument (ID Q126001XNA) ha un piano in ceramica con effetto marmo. Elegante e resistente ai graffi.
107,Il divano 'Sleeping Argo' (ID 3208) ha lo schienale reclinabile?,"Sì, il divano Sleeping Argo (ID 3208) ha schienale reclinabile e funzione letto integrata. Disponibile in tessuto sfoderabile."
108,"Mi serve una madia alta, almeno 130 cm.",La madia Dorian (ID M10103X) ha altezza di 135 cm. Struttura in legno e dettagli in metallo. Design moderno e capiente.
109,Quali sono i colori disponibili per lo specchio modello ORFEO?,"Lo specchio ORFEO (ID Y01001X) è disponibile in nero opaco, bronzo e titanio. Tutte le versioni hanno cornice in metallo."
110,C'è un tappeto rotondo con diametro di circa 250 cm e colore platino?,"Sì, il tappeto Lux (ID R40706X) è rotondo con diametro 250 cm e colore platino. Realizzato in viscosa e poliestere."
111,Vorrei un cuscino decorativo in tessuto grigio da abbinare al divano Adam.,Puoi scegliere il cuscino della collezione Velluto (ID T163M0T) in tessuto grigio scuro. Ottimo abbinamento per il divano Adam.
112,Il materasso modello ATLAS è disponibile nella misura 200x200?,"Sì, il materasso Atlas è disponibile anche in misura 200x200. È in memory foam con fodera traspirante sfoderabile."
113,Mostrami le lampade da tavolo con struttura in metallo e paralume in vetro.,"Lampade da tavolo con struttura in metallo e paralume in vetro: Germoglio (ID N942001XNA), Circle (ID L50601G), Colosseo da tavolo (versione mini)."
114,Quali sono le opzioni di colore per il pouf del divano Colosseo (se esiste un pouf abbinato)?,"Sì, il pouf Colosseo (ID 3283-PF1) è disponibile nei colori coordinati ai divani: grigio scuro, beige, blu notte. Rivestimenti in pelle o tessuto."
115,Ho bisogno di un divano con almeno 5 posti a sedere.,"Divani con almeno 5 posti: Wellbe (ID 3273), Galaxy (ID 2966), Philo (ID 2957). Tutti modulari e personalizzabili."
116,Sto cercando un tavolino da caffè con un prezzo massimo di 500 euro.,"Il tavolino Kendo (ID T116001X) ha un prezzo di circa 480 EUR. Struttura in metallo, top in vetro o MDF. Moderno ed elegante."
117,"Quali complementi d'arredo si abbinano al divano codice L017, considerando un layout per una stanza di 18mq?","Per il divano L017 (Wave), in una stanza di 18mq, puoi abbinare: tavolino IDO (C19211X), lampada Filo (L35301X), tappeto Astra (R40503X)."
118,Vorrei informazioni sul divano la cui descrizione contiene 'memory foam' e 'modulare'.,"Il divano Galaxy (ID 2966) è modulare e include imbottitura in memory foam. Design contemporaneo, con relax e porta USB opzionale."
119,Mi puoi dire i prezzi per le diverse configurazioni del divano modello 3242 (Adam)?,"Per Adam (ID 3242), la configurazione 2 posti (450+452) costa circa 5100 EUR. Una configurazione 3 posti (450+291+452) arriva a 6600 EUR."
120,Vorrei vedere tutti i divani con funzione letto e rivestimento in tessuto.,"Divani con funzione letto e rivestimento in tessuto: Brio (3200), Estasi (3199), Potenza (3180), Sleeping Argo (3208). Tutti sfoderabili."
