Codice,Nome,Designer,Materiale_Rivestimento,Solo_Pelle,Solo_Tessuto,Mix_Pelle_Tessuto_Possibile,Sfoderabile,Meccanismi_Relax,Poggiatesta_Regolabile,Funzione_Letto,Modulare,Struttura_Interna,Piedi_Materiale,Piedi_Finiture,Piedi_Altezza_cm,Piedi_Assemblati,Cuscino_Seduta_Stato,Cuscino_Spalliera_Stato,Note_Versioni_Configurazioni,Anno_Nascita,Imbottitura_Memory_Foam,Imbottitura_Climalight,Imbottitura_Piuma,Piedi_Ant_Post_Diversi,Opzione_Batteria,Porta_USB,Laterali_Componibile_Materiale,Tipo_Cuciture_Speciali,Contrasto_Filo_Bordino,Note_Restrizioni_Materiali,Note_Caratteristiche_Speciali
2855,Opus,Non Specificato,Pelle/Tessuto,No,No,Sì,No,No,No,No,Sì,Legno,Metallo,"75 (Nichel Satinato), 77 (Cromo Lucido)",12.0,No,Con Cerniera,Con Cerniera,"V.001/056/057/068/069 hanno 1 cuscino poggiareni. V.032/033 hanno 2 cuscini piccoli e 1 grande. V.038/039 hanno 1 cuscino piccolo. V.047/049 hanno 1 cuscino piccolo e 1 cuscino poggiareni. MIX PELLE-TESSUTO: 1°Pelle=Scocca, 2°Tessuto=Cuscini seduta/spalliera, 3°Tessuto=Cuscino piccolo/poggiareni. TRE TONI TESSUTO: 1°=Scocca, 2°=Cuscini seduta/spalliera, 3°=Cuscino piccolo/poggiareni.",Non Specificato,Sì,No,No,No,No,No,Non Applicabile,Nessuna,Sì,"Pelle: Non disponibile in pelle Misterbianco (cat.30). Categorie Mix Pelle/Tessuto definite.",Elegante; contemporaneo; versatile. Seduta profonda; cuscini poggiareni volanti. Altamente modulare (piedini gomma). Cuscino seduta con memory foam. Piedi in busta. Look fluttuante.
2882,Logos,Non Specificato,Pelle/Tessuto,No,No,Sì,No,"Recliner (Meccanizzato)",No,No,Sì,Legno,Metallo,"V.066 Base metallo: 79 (Nero Opaco)",4.5,No,Fisso,Fisso,"V.066: Base in metallo disponibile nelle finiture 79 (Nero Opaco). MIX PELLE-TESSUTO: 1°Pelle=Scocca, 2°Tessuto=Cuscini seduta/spalliera.",Non Specificato,Sì,No,No,No,No,No,Non Applicabile,Nessuna,Sì,"Categorie Mix Pelle/Tessuto definite.","Cuscino seduta con memory foam. Imballo in scatola per versioni meccanizzate. Piedi in busta."
2896,Capriccio,Natuzzi Design Center,Pelle/Tessuto,No,No,Sì,No,Letto (Pronto letto),No,Sì,No,Legno,Metallo,"77 (Cromo Lucido), 78 (Cromo Nero)",13.0,No,Fisso,Fisso,"Disponibile con bordino a contrasto (secondo rivestimento stessa categoria). Dotato di guanciali in vano nascosto.",2014,No,No,No,No,No,No,Non Applicabile,Nessuna,Sì,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Divano-letto semplice e raffinato. Forme squadrate. Sistema 'Pronto letto'. Piedi in metallo. Piedi in busta."
2899,Dolly,Non Specificato,Pelle/Tessuto,No,No,Sì,No,No,No,No,No,Legno,Metallo,"77 (Cromo Lucido), 78 (Cromo Nero). V.066 Base metallo: 79 (Nero Opaco)",13.0,No,Fisso,Fisso,"Disponibile con bordino a contrasto (secondo rivestimento stessa categoria). V.066 Base metallo: 79 (Nero Opaco).",Non Specificato,Sì,No,No,No,No,No,Non Applicabile,Nessuna,Sì,Non Specificato,"Cuscino seduta con memory foam. Piedi in busta."
2904,Dorian,"Tapinassi & Manzoni",Pelle/Tessuto,No,No,No,No,No,No,No,Sì,Legno,Metallo (Nascosti),"Non Specificato",3.0,Sì,"Uniti alla struttura","Uniti alla struttura","Disponibile anche in pelle spessorata (codice Sxxx - Art. Cassidy cat.60, Misterbianco cat.30). Laterali completamente rivestiti nelle versioni in pelle.",2014,Sì,No,No,No,No,No,Pelle,Nessuna,No,Non Specificato,"Protagonista dell'ambiente. Volumi abbondanti, forme sinuose. Altamente modulare (piedini gomma). Cuscino seduta con memory foam. Piedi già montati, nascosti, con gommini antigraffio/antiscivolo."
2907,Fidelio,Maurizio Manzoni,Pelle/Tessuto,No,No,No,No,"Recliner (Soft Touch, ZeroWall)",Sì,No,No,Legno,Metallo,"74 (Graphite Grey Rough), 77 (Cromo Lucido), 78 (Cromo Nero)",11.0,Sì,"Uniti alla struttura","Uniti alla struttura","Meccanismo Soft Touch. Meccanismo ZeroWall. Poggiatesta regolabile tutte versioni (elettrico su relax, manuale su fisse). V.560 ha 3 sedute con meccanismo elettrico. Disponibile vers. 830 Battery Bank. Disponibile anche in pelle spessorata (codice Sxxx - Art. Cassidy cat.60, Misterbianco cat.30).",2014,Sì,No,No,No,Sì,No,Non Applicabile,"Pizzicate",No,Non Specificato,"Innovativo, comodo. Struttura ricercata, meccanismi tecnologici. Braccioli con cuciture pizzicate e struttura metallo. Cuscino seduta con memory foam. Piedi già montati."
2911,Long Beach,Claudio Bellini,Pelle/Tessuto,No,No,No,No,No,No,No,Sì,Legno,Metallo,"Metallo",6.0 / 9.0,Sì,Volante,Volante,"Laterale in pelle (pezzi componibili). Possibile variare altezza piede.",Non Specificato,Sì,No,No,No,No,No,Pelle,Nessuna,No,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Morbido, accogliente. Altezza piede regolabile. Braccioli sottili. Cuscino seduta con memory foam. Piedi già montati."
2913,Aura,Non Specificato,Non Specificato,Non Specificato,Non Specificato,No,No,No,No,No,No,Non Specificato,Legno,"29 (Rovere Caffè), 32 (Rovere Affumicato), 33 (Noce Olivato; a pagamento)",Non Specificato,Sì,Volante,Volante,Non Specificato,Non Specificato,No,No,No,No,No,No,Non Applicabile,Nessuna,No,Non Specificato,Piedi già montati.
2954,Iago,Marek Bujanowski,Pelle/Tessuto,No,No,No,No,"Recliner (Soft Touch, ZeroWall)",Sì,No,Sì,Legno,Non Specificato,"Non Specificato",5.0,No,"Uniti alla struttura","Uniti alla struttura","Meccanismo Soft Touch. Meccanismo ZeroWall. Poggiatesta regolabile (manuale su fisse). V. angolo (489) entrambi i poggiatesta regolabili. Disponibile vers. 830 Battery Bank. Laterale divano componibile non in pelle.",2015,Sì,No,No,No,Sì,No,Tessuto,Nessuna,No,Non Specificato,"Forme squadrate e lineari, morbidezza imbottiture. Seduta bassa. Sistemi relax. Cuscino seduta con memory foam. Piedi in busta."
2957,Philo,Marek Bujanowski,Pelle/Tessuto,No,No,No,No,"Recliner (Soft Touch, ZeroWall)",Sì,No,No,Legno,Metallo,"74 (Grigio grafite opaco), 77 (Cromo lucido), 78 (Cromo nero)",13.0,No,"Uniti alla struttura","Uniti alla struttura","Meccanismo Soft Touch. Meccanismo ZeroWall. Poggiatesta regolabile (manuale su fisse). V.560 ha 3 sedute con meccanismo elettrico. Disponibile vers. 830 Battery Bank.",2015,No,No,No,No,Sì,No,Non Applicabile,Trapuntatura,No,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Stile inconfondibile, trapuntatura accurata, piedi metallici. Rigoroso e morbido. Piedi in busta."
2959,Duca,Natuzzi Design Center,Pelle/Tessuto,No,No,No,No,"Recliner (Soft Touch, ZeroWall)",Sì,No,No,Legno,Metallo,"74 (Graphite Grey Rough), 77 (Cromo Lucido), 78 (Cromo Nero)",13.0,No,"Uniti alla struttura","Uniti alla struttura","Meccanismo Soft Touch. Meccanismo ZeroWall. Poggiatesta regolabile (manuale su fisse). Disponibile vers. 830 Battery Bank.",2015,Sì,No,No,No,Sì,No,Non Applicabile,Nessuna,No,Non Specificato,"Imponente, pregiata manifattura. Comfort elevato. Larghi braccioli, ampie sedute. Ammirabile a 360°. Cuscino seduta con memory foam. Piedi in busta."
2981,Herman,"Manzoni e Tapinassi",Tessuto,No,Sì,Sì,No,No,No,No,Sì,Legno,Metallo,"80 (peltro), 81 (bronzo satinato)",4.5,Sì,Fisso,Volante,"Ordinabile in pelle (codice V981, estetica diversa). Disponibile con bordino Gros-Grain (2.5cm, 2°Riv, non su V.100/105/539/556). V. seconda opzione (277/279, 382/384) cuscino bracciolo altezza spalliera. Laterale componibile in tessuto.",Non Specificato,Sì,No,No,No,No,No,Tessuto,Eleganti,Sì (Bordino),"Non disponibile in tessuto Portavenezia.","Sedute profonde, accoglienti, chaise-longue. Cuscini coordinati. Braccioli essenziali, cuciture eleganti. Sostegno metallico esterno. Altamente modulare (piedini gomma). Cuscino seduta con memory foam. Piedi già montati."
2987,Jeremy,"Manzoni e Tapinassi",Pelle,Sì,No,No,No,No,No,No,Sì,Legno,Metallo,"80 (peltro)",17.0,No,Volante,Volante,"Laterale in pelle (pezzi componibili).",Non Specificato,Sì,No,No,No,No,No,Pelle,Nessuna,No,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Grande essenzialità. Gioco incastri base/bracciolo/schienale. Piedini regolari. Ideale contesti contemporanei o classici. Cuscino seduta con memory foam. Piedi in busta."
2996,Ilia,Mauro Lipparini,Pelle/Tessuto,No,No,Sì,No,"Batteria ricaricabile",No,No,No,Metallo,Metallo/Legno,"Base: metallo 80 (peltro). Pannello laterale: legno 32 (Rovere Affumicato), 34 (Noce Invecchiato), 35 (Radica Frisé)",Non Specificato,Sì,Fisso,Fisso,"Disponibile con bordino Gros-Grain (3cm, 2°Riv). Modello con batteria ricaricabile integrata.",2016,No,No,No,No,Sì,No,Non Applicabile,Nessuna,Sì,"Pelle: da cat.15 (Le Mans). Non disponibile in pelle Misterbianco (cat.30), Cassidy (cat.60).","Piedi già montati."
3000,La Scala,Claudio Bellini,Pelle,Sì,No,No,No,No,No,No,No,Non Specificato,Metallo,"78 (Cromo Nero)",12.5,No,Volante,Fisso,Non Specificato,Non Specificato,Sì,No,No,No,No,No,Non Applicabile,Capitonné,No,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Reinterpretazione moderna chester. Capolavoro artigianato. Linee tese, dettaglio capitonné, morbidezza cuscini. Pregiate imbottiture. Cuscino seduta con memory foam. Piedi in busta."
3003,Leyra,Non Specificato,Non Specificato,Non Specificato,Non Specificato,Sì,No,No,No,No,No,Legno,Metallo,"77 (Cromo Lucido), 78 (Cromo Nero)",12.5,No,Fisso,Fisso,"Disponibile con bordino a contrasto (secondo rivestimento stessa categoria).",Non Specificato,No,No,No,No,No,No,Non Applicabile,Nessuna,Sì,Non Specificato,Piedi in busta.
3004,Milano,Non Specificato,Pelle/Tessuto,No,No,No,No,No,No,No,No,Legno,Metallo,"78 (Cromo Nero)",14.0,No,Fisso,Fisso,Non Specificato,Non Specificato,No,No,No,No,No,No,Non Applicabile,Nessuna,No,"Pelle: da cat. A0. Non disponibile in pelle Misterbianco (cat.30).","Compatto, stile, eleganza. Effetto vintage. Ideale spazi urban/metropolitani. Alta versatilità configurazioni/rivestimenti. Piedi in busta."
3029,Galaxy,Non Specificato,Pelle,Sì,No,No,No,"Recliner (Dual Power)",Sì,No,Sì,Legno,Non Specificato,"Non Specificato",4.0,No,"Uniti alla struttura","Uniti alla struttura","Ordinabile in tessuto (codice V029). Meccanismo Dual Power (Recliner e Poggiatesta elettrico, tilt manuale). Pulsantiera interna. Disponibile vers. 830 Battery Bank.",Non Specificato,No,No,No,No,Sì,No,Non Applicabile,Nessuna,No,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Galassia comfort, design, innovazione. Linee avvolgenti, modularità estrema, funzioni salva-spazio, recliner nuova generazione. Altamente modulare (piedini gomma). Piedi in busta."
3030,Balance,Natuzzi Design Center,Pelle/Tessuto,No,No,Sì,No,"Recliner (Soft Touch, ZeroWall)",Sì,No,Sì,Legno,Legno,"09 (Noce), 18 (Wengè)",4.0,No,"Uniti alla struttura","Uniti alla struttura","Poggiatesta regolabile su ogni seduta. Meccanismo Soft Touch. Meccanismo ZeroWall. Disponibile vers. 830 Battery Bank. Laterale divano componibile non in pelle. TESSUTO: bordino/dettagli (2° riv) in pelle Le Mans.",2017,No,No,No,No,Sì,No,Tessuto,Nessuna,Sì,"Pelle: Filo contrasto disponibile (selezione Nares). Non disponibile in pelle Misterbianco (cat.30).","Protagonista living. Poggiareni integrato. Piedi in busta."
3031,Tulip,Non Specificato,Pelle/Tessuto,No,No,No,No,No,No,No,No,Metallo,Metallo,"Base: metallo 80 (peltro)",Non Specificato,Sì,Fisso,Fisso,Non Specificato,Non Specificato,No,No,No,No,No,No,Non Applicabile,Nessuna,No,"Pelle: da cat.15 (solo Le Mans). Non disponibile in pelle Misterbianco (cat.30).","Piedi già montati."
3032,Kendo,"Tapinassi & Manzoni",Pelle/Tessuto,No,No,Sì,No,No,No,No,Sì,Legno,Legno/Metallo,"Legno: 32 (Rovere Affumicato) con inserto ottone, 33 (Noce Olivato; a pagamento) con inserto peltro",14.0,No,"Uniti alla struttura","Uniti alla struttura","Disponibile pelle spessorata (codice Sxxx - Art. Cassidy cat.60, Misterbianco cat.30). TESSUTO: bordino/dettagli (2° riv) in pelle Le Mans. Laterali completamente rivestiti nelle versioni in pelle.",2017,Sì,No,No,No,No,No,Pelle,Nessuna,Sì,Non Specificato,"Connubio modularità, artigianalità, design. Personalità raffinata, dettagli preziosi. Cuscino seduta con memory foam. Piedi in pacco separato."
3033,Aftereight,Non Specificato,Non Specificato,Non Specificato,Non Specificato,No,No,No,No,No,No,Legno,Metallo,"77 (Cromo Lucido), 78 (Cromo Nero)",22.0/14.5,No,Volante,Con Cerniera,Non Specificato,Non Specificato,No,No,No,Sì,No,No,Non Applicabile,Nessuna,No,Non Specificato,"Piedi anteriori più alti dei posteriori. Piedi in busta."
3035,Stan,Enrique Marti,Pelle/Tessuto,No,No,Sì,No,"Recliner (Dual Power, ZeroWall)",Sì,No,No,Legno,Metallo,"77 (Cromo Lucido), 78 (Cromo Nero)",11.0,No,"Uniti alla struttura","Uniti alla struttura","Meccanismo Dual Power (Recliner e Poggiatesta elettrico, tilt manuale). Pulsantiera interna. Meccanismo ZeroWall. Disponibile vers. 830 Battery Bank. TESSUTO: bordino/dettagli (2° riv) in pelle Le Mans.",2017,No,No,No,No,Sì,No,Non Applicabile,Nessuna,Sì,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Semplicità, versatilità. Ideale ogni spazio/stile. Relax inedito. Piedi in busta."
3039,Melpot,Non Specificato,Pelle/Tessuto,No,No,Sì,No,"Poggiatesta regolabile",Sì,No,Sì,Legno,Non Specificato,"Non Specificato",6.0,No,Con Cerniera,Volante,"Altamente modulare. Include pouf, librerie (a giorno/con pannello, agganciabili o free-standing), contenitori legno. V. second option con seduta trapuntata e poggiatesta regolabile. Cuscino quadrato (V.122) sempre mix pelle/tessuto. Cuscini spalliera volanti (ordinare separatamente: 110, 108, 122, 556). Cuscino 556 regolabile (cricchetto). Dettagli ordine librerie (codice LIB).",Non Specificato,No,Sì,Sì,No,No,No,Non Applicabile,Trapuntatura (V. opz.),Sì,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Teatralità espressiva, infinite composizioni. Volumi geometrici morbidi. Flessibilità ad personam. Imbottitura Climalight (seduta), Piuma (cuscini volanti). Struttura divano imbottita. Piedi in busta."
3040,Luna,Non Specificato,Pelle/Tessuto,No,No,Sì,No,No,No,No,No,Legno,Legno/Metallo,"Piedi: 29 (Rovere Caffè), 32 (Rovere Affumicato). V.066 Base metallo: 79 (Nero Opaco)",18.0,No,Fisso,Fisso,"V.066 Base metallo: 79 (Nero Opaco). MIX PELLE-TESSUTO: 1°Pelle=Retro scocca & Bordino, 2°Tessuto=Rivestimento interno e cuscino seduta. TESSUTO: bordino/dettagli (2° riv) in pelle Le Mans.",Non Specificato,No,No,No,No,No,No,Non Applicabile,Nessuna,Sì,"Categorie Mix Pelle/Tessuto definite. Pelle: Non disponibile in pelle Misterbianco (cat.30).","Piedi in busta."
3042,Estro,Non Specificato,Pelle/Tessuto,No,No,No,No,No,No,No,No,Legno,Metallo,"77 (Cromo Lucido), 78 (Cromo Nero)",21.0,No,Fisso,Con Cerniera,Non Specificato,Non Specificato,No,No,No,No,No,No,Non Applicabile,Nessuna,No,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Comfort, compattezza. Linee essenziali, contemporanee. Materiali e lavorazioni alta qualità. Piedi in busta."
3045,Brooklyn,Non Specificato,Non Specificato,Non Specificato,Non Specificato,No,No,No,Sì,No,Sì,Legno,Metallo,"77 (Cromo Lucido), 78 (Cromo Nero)",15.5,No,Fisso,Fisso,"V. angolo (489) entrambi i poggiatesta regolabili. Laterale in pelle (pezzi componibili).",Non Specificato,No,No,No,No,No,No,Pelle,Nessuna,Sì (Filo),Non Specificato,"Contemporaneità metropolitana. Valore, eleganza. Rappresentanza, versatile. Piedi in busta."
